FrameNr 	 Person 1 		 Person 2 		 Person 3 		 Person 4 
	 x 	 y   	   x 	 y   	   x 	 y   	   x 	 y   
319	-802.181	-1031.89	197.356	618.879	169.745	-81.4919	-295.727	-120.943	
323	-936.988	-1238.82	242.904	527.019	17.3763	-78.9335	-223.477	-179.723	
327	-952.249	-1292.53	251.313	500.589	-44.5377	-102.078	-192	-289	
329	-935.91	-1345.26	252.113	496.964	-44.9098	-97.3526	-61.6296	-368.119	
333	-851.978	-1439.48	279.7	473.731	-86.4381	-54.0862	-57.0559	-281.414	
329	-935.91	-1345.26	252.113	496.964	-44.9098	-97.3526	-61.6296	-368.119	
325	-950.95	-1255.36	252.862	497.348	-71.952	-90.1334	-248.615	-208.783	
320	-853.342	-1090.52	208.113	597.048	178.962	-85.3302	-255.737	-123.92	
315	-1049.13	-931.435	1083.25	-459.516	415.199	723.216	-301.714	-283.429	
311	-1072.98	-931.269	1101.12	-534.506	528.402	741.204	-363.604	-390.506	
307	-1121.75	-924.279	1111.39	-600.616	608.367	753.03	-485.881	-533.485	
301	-983.699	-791.98	1129.14	-656.859	684.056	759.315	-312.45	-385.438	
295	-954.8	-813.369	1168.1	-660.991	783.295	721.556	-217.905	-89.9048	
285	-895.105	-935.189	1192.62	-650.9	921.954	658.287	0	0	
281	-851.133	-901.23	1203.49	-632.466	968.433	638.965	0	0	
282	-861.262	-910.369	1200.62	-639.599	958.628	643.188	0	0	
283	-871.437	-918.673	1198	-643.638	944.19	648.053	0	0	
284	-886.694	-933.648	1194.47	-645.838	934.335	652.871	0	0	
285	-895.105	-935.189	1192.62	-650.9	921.954	658.287	0	0	
286	-900.824	-934.873	1189.93	-656.171	904.159	665.356	0	0	
287	-912.109	-936.956	1187.32	-660.852	888.449	674.332	0	0	
288	-919.63	-910.501	1183.68	-662.921	874.625	683.17	0	0	
289	-927.286	-887.361	1183.92	-664.302	862.399	690.41	0	0	
289	-927.286	-887.361	1183.92	-664.302	862.399	690.41	0	0	
289	-927.286	-887.361	1183.92	-664.302	862.399	690.41	0	0	
289	-927.286	-887.361	1183.92	-664.302	862.399	690.41	0	0	
289	-927.286	-887.361	1183.92	-664.302	862.399	690.41	0	0	
289	-927.286	-887.361	1183.92	-664.302	862.399	690.41	0	0	
289	-927.286	-887.361	1183.92	-664.302	862.399	690.41	0	0	
289	-927.286	-887.361	1183.92	-664.302	862.399	690.41	0	0	
289	-927.286	-887.361	1183.92	-664.302	862.399	690.41	0	0	
289	-927.286	-887.361	1183.92	-664.302	862.399	690.41	0	0	
289	-927.286	-887.361	1183.92	-664.302	862.399	690.41	0	0	
290	-930.206	-856.382	1182.37	-666.274	847.745	699.027	0	0	
291	-929.347	-830.154	1180.35	-666.036	833.489	707.922	0	0	
292	-942.752	-828.824	1179.63	-665.491	817.807	713.09	-293.647	-412.235	
293	-945.677	-818.956	1178.02	-662.983	807.43	715.309	-219.608	-57.7255	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
