FrameNr 	 Person 1 		 Person 2 		 Person 3 		 Person 4 	
	 x 	 y   	   x 	 y   	   x 	 y   	   x 	 y   
672	-780.337	-1782.29	1395	-64.2705	-194.942	160.501	-60.101	-436.962
676	10.8817	-339.219	1385.41	-117.892	-270.588	378.684	-920.257	-1733.38
680	-755.782	-1633.12	1377.17	-178.834	-72.9553	-87.9003	-1151.26	-1550.57
684	-1092.32	-1666.69	1367.49	-233.28	-510.796	494.101	137.547	-365.357
688	-1152.34	-1676.75	1368.7	-302.631	-564.461	497.378	170.053	-412.438
692	-1202.93	-1699.31	1349.66	-375.37	-599.96	498.975	206.289	-450.062
696	-6.59447	-853.298	612.891	-457.689	-617.012	490.089	-1234.42	-1741.27
700	149.666	-684.443	714.47	-469.367	-646.188	490.548	-1265.03	-1768.4
704	288.126	-474.921	1101.09	-605.678	-662.08	483.548	-1328.66	-1765.5
708	345.311	-417.59	1169.32	-736.295	-672.255	474.721	-1403.17	-1765.29
712	376.372	-367.519	1158.88	-779.581	-672.704	459.24	-1474.59	-1762.01
716	402.45	-316.138	1139.23	-801.414	-678.73	437.793	-1538.9	-1742.89
720	420.943	-278.129	1102.54	-828.502	-665.106	412.791	-1581.53	-1723.14
724	437.983	-265.141	1024.25	-867.857	-647.598	379.939	-1618.05	-1705.71
728	447.755	-255.235	947.745	-896.417	-611.882	342.837	-1650.17	-1686.82
732	453.715	-265.463	895.139	-916.376	-567.21	289.98	-1676.88	-1655.09
736	446.453	-272.577	835.064	-939.997	-509.024	228.75	-1694.38	-1623.05
740	427.568	-289.477	803.446	-956.851	-467.725	180.882	-1706.32	-1601.06
744	396.977	-316.559	784.493	-969.918	-442.317	144.136	-1712.29	-1587.18
748	346.115	-403.015	820.448	-987.972	-377.953	126.146	-1722.17	-1569.45
752	303.025	-454.974	861.599	-994.319	-331.362	120.445	-1723.21	-1565.68
756	139.495	-546.323	723.194	-794.249	-250.922	102.653	-1724.42	-1555.66
760	-64	-672	616.511	-764.85	-159.171	-10.1156	-1731.52	-1547.69
764	108.033	-559.09	697.663	-789.113	-108.841	19.0666	-1729.69	-1559.13
768	1338.04	597.572	-317.154	-812.519	998.399	-565.348	-5.79704	1078.49
772	1347.28	599.208	-249.95	-983.92	1007.24	-559.843	-730.009	643.556
776	1274.27	651.696	-405.437	-754.711	1017.03	-557.79	-264.986	-1101.03
780	1325.91	660.237	-587.008	839.09	1035.53	-547.931	-361.561	-979.494
784	1323.46	693.199	-395.824	999.268	1045.83	-533.529	-423.843	-960.502
788	1242.77	761.541	-477.539	-836.655	1061.01	-513.186	-450.086	-1174.92
792	1288.52	777.366	-506.27	-885.326	1082.46	-483.574	-275.667	1144.17
796	1251.28	825.884	-535.783	-836.23	1107.31	-445.313	-129	1274
800	1211.1	872.025	-572.016	-791.881	1132.79	-406.907	-269.629	1232
804	1181.87	911.668	-604.314	-743.353	1168.75	-364.242	-841.302	1004.65
808	1061.33	1011.53	-635.345	-661.282	1205.6	-318.888	1737.27	567.312
812	1144.77	972.312	-653.602	-637.416	1261.26	-255.85	-764.522	1058.09
816	1129.56	1012.73	-665.608	-571.812	1316.34	-173.392	-730.286	1040
820	1070.54	1068.37	-673.754	-499.176	1385.71	-60.6634	-696.094	1080.85
824	1132.64	1068.65	-680.615	-422.718	1404.35	-8.16897	-248.296	1410.28
